EPotencial:	ECinetica:	ETotal:	 Momento_Angular:
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003551
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000113,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
-0.000224,	0.000112,	-0.000111,	0.003552
